Title,Artist,Key,Chord 1,1,2,3,4,5,6,7,8,Chord 2,1,2,3,4,5,6,7,8,Chord 3,1,2,3,4,5,6,7,8,Chord 4,1,2,3,4,5,6,7,8
Wrecking Ball,Miley Cyrus,Minor,0,7,C,7,C,7,6,4,C,2,7,C,7,C,7,6,4,C,6,6,C,6,C,6,5,C,4,3,C,2,C,C,C,C,C,C
Wrecking Ball,Miley Cyrus,Major,0,3,C,C,2,2,C,C,C,4,C,C,C,0,3,2,1,0,5,3,C,C,2,2,C,C,C,3,C,C,0,0,3,2,1,0
Get Lucky,Daft Punk,Minor,0,2,C,C,C,C,2,3,4,2,C,C,C,C,C,4,5,6,4,C,C,C,C,C,6,7,5,3,C,C,C,C,C,C,3,C
Rockabye,Clean Bandit,Minor,0,0,C,C,0,C,C,0,C,5,-2,C,C,C,C,C,C,C,6,1,C,C,3,C,C,-3,C,2,C,C,C,C,C,C,C,C
Rockabye,Clean Bandit,Minor,0,C,C,C,C,C,C,C,C,5,C,C,C,C,2,2,2,2,6,C,C,1,C,C,C,C,C,4,C,C,4,C,3,C,2,0
Rockabye,Clean Bandit,Minor,0,C,C,4,C,3,C,2,0,5,C,0,4,C,2,2,C,2,6,C,C,3,C,C,C,C,C,4,C,0,4,C,3,C,2,0
Rockabye,Clean Bandit,Minor,0,4,C,2,2,C,C,C,5,5,C,5,5,5,5,4,3,C,6,3,C,C,1,C,C,C,4,4,C,4,C,4,4,3,2,3
Rockabye,Clean Bandit,Minor,0,4,C,C,2,C,C,C,5,5,C,5,C,5,5,4,3,C,6,3,C,C,6,C,C,1,C,4,C,C,0,C,2,C,3,C
Rockabye,Clean Bandit,Minor,0,0,C,1,2,C,C,4,C,5,C,2,C,C,2,C,2,1,6,C,C,C,C,C,C,C,1,4,C,1,C,2,1,C,2,C
Wake Me Up,Avicii,Minor,0,C,C,C,C,7,7,7,7,5,C,C,C,C,6,C,4,6,2,C,C,C,C,4,3,2,C,6,C,C,C,C,C,C,C,C
Wake Me Up,Avicii,Minor,0,C,C,C,C,7,C,7,7,5,6,C,6,C,6,C,4,C,2,6,C,7,C,C,C,C,C,6,C,C,C,C,C,C,C,C
Wake Me Up,Avicii,Minor,0,2,C,C,C,2,C,C,C,5,0,C,-1,C,-1,C,C,-1,2,C,C,C,C,C,C,C,C,6,C,C,C,C,0,C,1,C
Wake Me Up,Avicii,Minor,0,2,C,C,C,4,C,4,C,5,3,2,C,2,C,3,C,C,2,2,C,C,C,C,C,-1,-1,6,C,C,C,C,C,C,C,C
